Year,Region,forest_area_kha,country_area_km2,coverage
1991,Suceava,435.8,8553,0.50952882
1991,Caras-Severin,391.2,8532,0.458509142
1991,Valcea,271.5,5764,0.471027065
1992,Suceava,435.6,8553,0.509294984
1992,Caras-Severin,391.1,8532,0.458391936
1992,Valcea,271,5764,0.470159611
1993,Suceava,435.6,8553,0.509294984
1993,Caras-Severin,391.2,8532,0.458509142
1993,Valcea,271.2,5764,0.470506593
1994,Suceava,435.5,8553,0.509178066
1994,Caras-Severin,390.5,8532,0.457688701
1994,Valcea,271.6,5764,0.471200555
1995,Suceava,435.2,8553,0.508827312
1995,Caras-Severin,390.6,8532,0.457805907
1995,Valcea,270.5,5764,0.469292158
1996,Suceava,435.2,8553,0.508827312
1996,Caras-Severin,390.6,8532,0.457805907
1996,Valcea,270.5,5764,0.469292158
1997,Suceava,435.1,8553,0.508710394
1997,Caras-Severin,390.4,8532,0.457571496
1997,Valcea,270.8,5764,0.46981263
1998,Suceava,435.3,8553,0.50894423
1998,Caras-Severin,389.4,8532,0.456399437
1998,Valcea,271.1,5764,0.470333102
1999,Suceava,435.3,8553,0.50894423
1999,Caras-Severin,389.1,8532,0.45604782
1999,Valcea,271.1,5764,0.470333102
2000,Suceava,434.8,8553,0.50835964
2000,Caras-Severin,389,8532,0.455930614
2000,Valcea,271.1,5764,0.470333102
2001,Suceava,434.8,8553,0.50835964
2001,Caras-Severin,389.1,8532,0.45604782
2001,Valcea,271.1,5764,0.470333102
2002,Suceava,434.9,8553,0.508476558
2002,Caras-Severin,389.1,8532,0.45604782
2002,Valcea,271.1,5764,0.470333102
2003,Suceava,435.1,8553,0.508710394
2003,Caras-Severin,388.8,8532,0.455696203
2003,Valcea,269.1,5764,0.466863289
2004,Suceava,435.1,8553,0.508710394
2004,Caras-Severin,388.9,8532,0.455813408
2004,Valcea,270.3,5764,0.468945177
2005,Suceava,435,8553,0.508593476
2005,Caras-Severin,389.1,8532,0.45604782
2005,Valcea,268.8,5764,0.466342817
2006,Suceava,435,8553,0.508593476
2006,Caras-Severin,403.4,8532,0.472808251
2006,Valcea,267,5764,0.463219986
2007,Suceava,435,8553,0.508593476
2007,Caras-Severin,403.6,8532,0.473042663
2007,Valcea,267.4,5764,0.463913949
2008,Suceava,435.2,8553,0.508827312
2008,Caras-Severin,403,8532,0.472339428
2008,Valcea,267.4,5764,0.463913949
2009,Suceava,435.3,8553,0.50894423
2009,Caras-Severin,403.3,8532,0.472691045
2009,Valcea,270.3,5764,0.468945177
2010,Suceava,435.3,8553,0.50894423
2010,Caras-Severin,409.7,8532,0.480192218
2010,Valcea,270.4,5764,0.469118668
2011,Suceava,436.1,8553,0.509879574
2011,Caras-Severin,410.4,8532,0.481012658
2011,Valcea,270.4,5764,0.469118668
2012,Suceava,436.4,8553,0.510230329
2012,Caras-Severin,410.9,8532,0.481598687
2012,Valcea,271,5764,0.470159611
2013,Suceava,436.7,8553,0.510581083
2013,Caras-Severin,415.7,8532,0.487224566
2013,Valcea,271,5764,0.470159611
2014,Suceava,437.1,8553,0.511048755
2014,Caras-Severin,416.2,8532,0.487810595
2014,Valcea,271.4,5764,0.470853574
2015,Suceava,437.5,8553,0.511516427
2015,Caras-Severin,420.4,8532,0.49273324
2015,Valcea,271.4,5764,0.470853574
2016,Suceava,437.8,8553,0.511867181
2016,Caras-Severin,421,8532,0.493436474
2016,Valcea,271.4,5764,0.470853574
2017,Suceava,437.8,8553,0.511867181
2017,Caras-Severin,421.3,8532,0.493788092
2017,Valcea,271.6,5764,0.471200555
2018,Suceava,437.8,8553,0.511867181
2018,Caras-Severin,427.7,8532,0.501289264
2018,Valcea,271.7,5764,0.471374046
2019,Suceava,437.9,8553,0.511984099
2019,Caras-Severin,430.8,8532,0.504922644
2019,Valcea,272.3,5764,0.47241499
