Year,Region,forest_area_kha,county_area_km2,coverage
1990,TOTAL,6371.0,238397,0.267243295846844
1991,TOTAL,6367.6,238397,0.267100676602474
1992,TOTAL,6368.2,238397,0.267125844704422
1993,TOTAL,6366.9,238397,0.267071313816869
1994,TOTAL,6369.0,238397,0.267159402173685
1995,TOTAL,6368.8,238397,0.267151012806369
1996,TOTAL,6365.7,238397,0.267020977612973
1997,TOTAL,6367.3,238397,0.2670880925515
1998,TOTAL,6367.1,238397,0.267079703184184
1999,TOTAL,6367.3,238397,0.2670880925515
2000,TOTAL,6366.5,238397,0.267054535082237
2001,TOTAL,6366.8,238397,0.267067119133211
2002,TOTAL,6387.8,238397,0.267948002701376
2003,TOTAL,6368.5,238397,0.267138428755395
2004,TOTAL,6382.2,238397,0.267713100416532
2005,TOTAL,6390.6,238397,0.268065453843798
2006,TOTAL,6427.7,238397,0.269621681480891
2007,TOTAL,6484.6,238397,0.272008456482254
2008,TOTAL,6469.9,238397,0.271391837984538
2009,TOTAL,6494.7,238397,0.272432119531706
2010,TOTAL,6515.1,238397,0.273287834997924
2011,TOTAL,6521.8,238397,0.273568878803005
2012,TOTAL,6529.1,238397,0.273875090710034
2013,TOTAL,6538.5,238397,0.27426939097388
2014,TOTAL,6544.6,238397,0.274525266677014
2015,TOTAL,6555.1,238397,0.274965708461096
2016,TOTAL,6559.0,238397,0.275129301123756
2017,TOTAL,6564.9,238397,0.275376787459574
2018,TOTAL,6583.1,238397,0.276140219885317
2019,TOTAL,6592.2,238397,0.276521936098189
1990,Bihor,195.4,7539,0.259185568377769
1991,Bihor,195.4,7539,0.259185568377769
1992,Bihor,195.4,7539,0.259185568377769
1993,Bihor,191.7,7539,0.254277755670513
1994,Bihor,194.7,7539,0.258257063270991
1995,Bihor,195.3,7539,0.259052924791086
1996,Bihor,195.3,7539,0.259052924791086
1997,Bihor,195.3,7539,0.259052924791086
1998,Bihor,195.5,7539,0.259318211964452
1999,Bihor,195.5,7539,0.259318211964452
2000,Bihor,195.5,7539,0.259318211964452
2001,Bihor,195.6,7539,0.259450855551134
2002,Bihor,198.2,7539,0.262899588804881
2003,Bihor,195.4,7539,0.259185568377769
2004,Bihor,195.3,7539,0.259052924791086
2005,Bihor,193.4,7539,0.256532696644117
2006,Bihor,200.3,7539,0.265685104125216
2007,Bihor,206.7,7539,0.274174293672901
2008,Bihor,208.1,7539,0.276031303886457
2009,Bihor,209.2,7539,0.277490383339966
2010,Bihor,209.2,7539,0.277490383339966
2011,Bihor,209.2,7539,0.277490383339966
2012,Bihor,209.2,7539,0.277490383339966
2013,Bihor,209.2,7539,0.277490383339966
2014,Bihor,209.3,7539,0.277623026926648
2015,Bihor,209.3,7539,0.277623026926648
2016,Bihor,209.3,7539,0.277623026926648
2017,Bihor,209.4,7539,0.277755670513331
2018,Bihor,211.2,7539,0.280143255073617
2019,Bihor,211.2,7539,0.280143255073617
1990,Bistrita-Nasaud,189.5,5358,0.353676745054125
1991,Bistrita-Nasaud,189.9,5358,0.354423292273236
1992,Bistrita-Nasaud,189.9,5358,0.354423292273236
1993,Bistrita-Nasaud,189.9,5358,0.354423292273236
1994,Bistrita-Nasaud,190.0,5358,0.354609929078014
1995,Bistrita-Nasaud,189.8,5358,0.354236655468458
1996,Bistrita-Nasaud,188.6,5358,0.351997013811124
1997,Bistrita-Nasaud,189.7,5358,0.35405001866368
1998,Bistrita-Nasaud,189.6,5358,0.353863381858903
1999,Bistrita-Nasaud,189.6,5358,0.353863381858903
2000,Bistrita-Nasaud,189.8,5358,0.354236655468458
