Year,adjusted_earnings,forest_area_kha
1991,1.1824,6367.6
1992,3.2612,6368.2
1993,10.1331,6366.9
1994,19.853,6369.0
1995,28.2995,6368.8
1996,43.3692,6365.7
1997,94.0495,6367.3
1998,136.0261,6367.1
1999,199.008,6367.3
2000,291.157,6366.5
2001,365.9686,6366.8
2002,452.5696,6387.8
2003,565.8065,6368.5
2004,687.5094,6382.2
2005,848,6390.6
2006,1099,6427.7
2007,1266,6484.6
2008,1489,6469.9
2009,1477,6494.7
2010,1496,6515.1
2011,1604,6521.8
2012,1697,6529.1
2013,1760,6538.5
2014,1866,6544.6
2015,2114,6555.1
2016,2354,6559.0
2017,2629,6564.9
2018,2957,6583.1
2019,3340,6592.2
